"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"142","Regulation Of Cell-Substrate Adhesion (GO:0010810)","2/44",0.0204294838615153,0.161997174845537,0,0,9.6491739552964,37.5427757402553,"CCDC80;AGR2"
"143","Cellular Response To Molecule Of Bacterial Origin (GO:0071219)","3/117",0.0209289640116766,0.162996920098238,0,0,5.36787845903418,20.7555528715947,"SERPINE1;WNT5A;HMGB2"
"144","Cellular Response To Oxidative Stress (GO:0034599)","3/117",0.0209289640116766,0.162996920098238,0,0,5.36787845903418,20.7555528715947,"TPM1;ROMO1;SQSTM1"
"145","Regulation Of Cellular Metabolic Process (GO:0031323)","2/45",0.0213109604144822,0.162996920098238,0,0,9.42429995253915,36.2697365803843,"NPC2;CYP1B1"
"146","Regulation Of Cell Migration (GO:0030334)","6/434",0.0217893851239897,0.162996920098238,0,0,2.90395704911513,11.1115047962341,"ANXA1;SERPINE1;TPM1;CYP1B1;ITGA6;FYN"
"147","Positive Regulation Of Angiogenesis (GO:0045766)","3/119",0.0218742991047355,0.162996920098238,0,0,5.27479559189477,20.1626048968317,"SERPINE1;WNT5A;CYP1B1"
"148","Amino Acid Transport (GO:0006865)","2/46",0.0222080432575084,0.162996920098238,0,0,9.20964749536178,35.0638977870873,"SLC7A5;SLC3A2"
"149","Replication Fork Processing (GO:0031297)","2/46",0.0222080432575084,0.162996920098238,0,0,9.20964749536178,35.0638977870873,"PCNA;NUCKS1"
"150","Intracellular Protein Transmembrane Transport (GO:0065002)","2/46",0.0222080432575084,0.162996920098238,0,0,9.20964749536178,35.0638977870873,"ROMO1;SEC62"
"151","Myofibril Assembly (GO:0030239)","2/46",0.0222080432575084,0.162996920098238,0,0,9.20964749536178,35.0638977870873,"KRT19;TPM1"
"152","Positive Regulation Of Cytokine Production (GO:0001819)","5/320",0.02229905299158,0.162996920098238,0,0,3.27234753550543,12.4454283659105,"SLC7A5;ANXA1;SERPINE1;WNT5A;CYP1B1"
"153","Regulation Of Wound Healing (GO:0061041)","2/47",0.0231205576171507,0.162996920098238,0,0,9.00453514739229,33.920382104137,"ANXA1;SERPINE1"
"154","Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)","3/123",0.0238342004694833,0.162996920098238,0,0,5.0979381443299,19.0491276504594,"WNT5A;HMGB2;NME1"
"155","Regulation Of DNA Binding (GO:0051101)","2/48",0.0240483300532172,0.162996920098238,0,0,8.80834072759539,32.8347611919466,"HMGB2;NME1"
"156","Cellular Response To Lipopolysaccharide (GO:0071222)","3/124",0.0243385983169026,0.162996920098238,0,0,5.05555082218625,18.7848686370022,"SERPINE1;WNT5A;HMGB2"
"157","Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration (GO:0032471)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"TGM2"
"158","DNA Replication-Dependent Chromatin Assembly (GO:0006335)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"NASP"
"159","Negative Regulation Of Morphogenesis Of An Epithelium (GO:1905331)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"TACSTD2"
"160","Regulation Of Glutamate Receptor Signaling Pathway (GO:1900449)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"FYN"
"161","Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process By Cytochrome C (GO:0008635)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"CYCS"
