"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"149","Negative Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0097201)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"CITED2"
"150","Pexophagy (GO:0000425)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"SQSTM1"
"151","Renal Filtration Cell Differentiation (GO:0061318)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"CD24"
"152","Glomerular Epithelial Cell Differentiation (GO:0072311)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"CD24"
"153","Positive Regulation Of Mitotic Cytokinesis (GO:1903490)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"BIRC5"
"154","Positive Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035360)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"CITED2"
"155","Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"HSP90AA1"
"156","Iron Coordination Entity Transport (GO:1901678)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"LCN2"
"157","Positive Regulation Of Vesicle Fusion (GO:0031340)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"ANXA1"
"158","Protein Targeting To Vacuole Involved In Autophagy (GO:0071211)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"SQSTM1"
"159","Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To MHC Molecule On Antigen Presenting Cell (GO:2001188)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"LGALS3"
"160","Negative Regulation Of Actin Filament Depolymerization (GO:0030835)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"LIMA1"
"161","Negative Regulation Of Cellular Response To Hypoxia (GO:1900038)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"ENO1"
"162","Regulation Of Response To External Stimulus (GO:0032101)","3/127",0.0258863853847271,0.175514003777895,0,0,4.93249085467243,18.0235095567768,"ANXA1;TMSB4X;WNT5A"
"163","Regulation Of Epithelial Cell Migration (GO:0010632)","2/50",0.0259489619459531,0.175514003777895,0,0,8.44047619047619,30.8214426622313,"TACSTD2;PFN1"
"164","Intracellular Iron Ion Homeostasis (GO:0006879)","2/50",0.0259489619459531,0.175514003777895,0,0,8.44047619047619,30.8214426622313,"FTH1;FTL"
"165","Pyruvate Metabolic Process (GO:0006090)","2/50",0.0259489619459531,0.175514003777895,0,0,8.44047619047619,30.8214426622313,"KRT17;ENO1"
"166","Negative Regulation Of Gene Expression (GO:0010629)","5/336",0.0267993805727423,0.175514003777895,0,0,3.11162346955001,11.2621368771307,"SLC7A5;KRT17;CITED2;NCL;TYMS"
"167","Cholesterol Transport (GO:0030301)","2/51",0.0269214810715392,0.175514003777895,0,0,8.26780508121616,29.8867161104048,"LIMA1;NPC2"
"168","Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233)","2/51",0.0269214810715392,0.175514003777895,0,0,8.26780508121616,29.8867161104048,"TPM1;PFN1"
"169","Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377)","2/51",0.0269214810715392,0.175514003777895,0,0,8.26780508121616,29.8867161104048,"LGALS3;SQSTM1"
"170","Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078)","2/51",0.0269214810715392,0.175514003777895,0,0,8.26780508121616,29.8867161104048,"LGALS3;SQSTM1"
"171","Regulation Of DNA Repair (GO:0006282)","3/129",0.0269470472113718,0.175514003777895,0,0,4.85370643102602,17.5407201351051,"PCNA;USP1;DEK"
"172","Regulation Of Proteolysis (GO:0030162)","2/52",0.0279085775805054,0.175514003777895,0,0,8.10204081632653,28.9957554144004,"CSTB;RHOBTB3"
"173","Icosanoid Metabolic Process (GO:0006690)","2/52",0.0279085775805054,0.175514003777895,0,0,8.10204081632653,28.9957554144004,"CYP1B1;PTGR1"
"174","Plasma Membrane Bounded Cell Projection Organization (GO:0120036)","3/132",0.0285811776295865,0.175514003777895,0,0,4.74011028530328,16.8511247836,"LIMA1;STMN1;TPM1"
"175","Protein Homotetramerization (GO:0051289)","2/53",0.0289100845392209,0.175514003777895,0,0,7.94277711084434,28.1457453742055,"ALDH1A3;ALDOA"
"176","CENP-A Containing Chromatin Assembly (GO:0034080)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"NASP"
"177","G-quadruplex DNA Unwinding (GO:0044806)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"HNRNPA2B1"
"178","Negative Regulation Of Ruffle Assembly (GO:1900028)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"TACSTD2"
"179","Aggrephagy (GO:0035973)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"SQSTM1"
"180","Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"PPIA"
"181","Regulation Of Mitotic Cytokinesis (GO:1902412)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"BIRC5"
"182","Bleb Assembly (GO:0032060)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"EMP1"
"183","Cellular Hyperosmotic Response (GO:0071474)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"YBX3"
"184","Cellular Response To Monoamine Stimulus (GO:0071868)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"TGM2"
"185","Chromatin Remodeling At Centromere (GO:0031055)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"NASP"
"186","Response To Cocaine (GO:0042220)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"TGM2"
"187","Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process (GO:2001280)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"ANXA1"
"188","Macrophage Derived Foam Cell Differentiation (GO:0010742)","1/6",0.0296309633944118,0.175514003777895,0,0,40.1919191919192,141.432767389918,"WNT5A"
"189","Regulation Of Lipid Metabolic Process (GO:0019216)","2/54",0.029925836282038,0.175514003777895,0,0,7.78963893249608,27.3341007109313,"NPC2;PSAP"
